"ORIG_ID,N,10,0","ONG,N,10,0","UMS,N,10,0","ONGSLA,N,10,0","ONGDOD,N,10,0","ONGZKHGEW,N,10,0","ONGOVGGEW,N,10,0","ONGERNST,N,10,0","BST,N,10,0","VWD,N,10,0","BSTSLA,N,10,0","BSTDODSLA,N,10,0","BSTZKHGEW,N,10,0","BSTOVGGEW,N,10,0","BSTERNST,N,10,0","PASSLA,N,10,0","PASDODSLA,N,10,0","PASZKHGEW,N,10,0","PASOVGGEW,N,10,0","PASERNST,N,10,0","SLA,N,10,0","DODSLA,N,10,0","ZKHGEW,N,10,0","OVGGEW,N,10,0","ERNST,N,10,0","WEGING,N,10,0","XCOR,N,20,5","YCOR,N,20,5","KRAA_,C,1"
6305,4,3,1,1,0,0,1,7,2,1,1,0,0,1,2,2,0,0,2,3,3,0,0,3,0,"122852,906347059","514880,805318321","N"
13388,2,0,2,1,1,0,2,6,0,2,1,1,0,2,4,2,2,0,4,6,3,3,0,6,0,"136077,123988466","517888,527038182","N"
148,5,1,4,2,2,0,4,9,1,4,2,2,0,4,1,0,1,0,1,5,2,3,0,5,0,"99121,7225049078","475711,999869984","N"
1610,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,2,2,0,0,2,0,"106007,5","499642,5","N"
1811,3,2,1,1,0,0,1,3,2,1,0,1,0,1,2,2,0,0,2,3,2,1,0,3,0,"107720,567","481227,059","N"
2835,9,7,2,1,1,0,2,13,7,3,1,1,1,2,2,1,0,1,1,5,2,1,2,3,0,"110831,785679914","494095,085916752","N"
3435,1,0,1,1,0,0,1,2,0,2,1,1,0,2,1,1,0,0,1,3,2,1,0,3,0,"113303,001950943","474023,896071698","N"
5484,3,2,1,1,0,0,1,4,2,1,0,1,0,1,4,2,2,0,4,5,2,3,0,5,0,"119199,066","521716,113","N"
6433,4,2,2,1,0,1,1,4,6,2,1,0,1,1,1,1,0,0,1,3,2,0,1,2,0,"100670,424","488296,416","N"
7125,2,1,1,1,0,0,1,3,4,1,0,1,0,1,4,2,2,0,4,5,2,3,0,5,0,"124693,696020191","491065,866041445","N"
7679,20,14,6,2,1,3,3,33,10,9,2,3,4,5,0,0,0,0,0,9,2,3,4,5,0,"125220,294","496298,932","N"
8466,1,0,1,1,0,0,1,2,1,1,1,0,0,1,1,1,0,0,1,2,2,0,0,2,0,"128906,73788764","535133,836179775","N"
9089,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,2,2,0,0,2,0,"114369,709","500786,377","N"
9100,11,6,5,2,3,0,5,18,1,7,2,5,0,7,1,0,1,0,1,8,2,6,0,8,0,"114218,528385625","520737,278517432","N"
9172,21,17,4,1,1,2,2,41,4,7,1,2,4,3,4,1,0,3,1,11,2,2,7,4,0,"132546,035","481439,026","N"
9387,2,0,2,1,1,0,2,3,2,3,1,2,0,3,1,1,0,0,1,4,2,2,0,4,0,"114575,77","518599,332","N"
9763,21,10,11,2,7,2,9,30,16,10,2,6,2,8,3,0,2,1,2,13,2,8,3,10,0,"136527,231","518763,909","N"
9968,3,1,2,1,0,1,1,4,3,3,1,1,1,2,2,1,0,1,1,5,2,1,2,3,0,"138957,107","519053,656","N"
10559,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,2,2,0,0,2,0,"117195,72810524","534900,247945626","N"
11646,3,0,3,2,1,0,3,6,0,5,1,3,1,4,4,1,3,0,4,9,2,6,1,8,0,"120527,605","534713,055","N"
12868,1,0,1,1,0,0,1,5,0,2,1,1,0,2,1,1,0,0,1,3,2,1,0,3,0,"129065,847846154","547950,565230769","N"
13327,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,2,2,0,0,2,0,"133940,28111028","529347,266089858","N"
14077,3,0,3,2,1,0,3,5,0,3,2,1,0,3,0,0,0,0,0,3,2,1,0,3,0,"108554,607","512820,347","N"
14966,2,0,2,1,1,0,2,2,1,2,1,1,0,2,1,1,0,0,1,3,2,1,0,3,0,"115072,593071581","516804,327134839","N"
15563,8,7,1,1,0,0,1,17,0,1,1,0,0,1,1,1,0,0,1,2,2,0,0,2,0,118274,496001,"N"
19865,8,4,4,2,2,0,4,18,1,7,2,5,0,7,0,0,0,0,0,7,2,5,0,7,0,110861,515124,"J"
20980,9,8,1,1,0,0,1,19,0,2,1,1,0,2,1,1,0,0,1,3,2,1,0,3,0,115425,474544,"J"
22582,2,0,2,1,1,0,2,4,0,2,1,1,0,2,1,1,0,0,1,3,2,1,0,3,0,119764,481013,"J"
27405,18,14,4,2,0,2,2,36,6,4,2,0,2,2,1,0,0,1,0,5,2,0,3,2,0,113562,501251,"J"
17,4,2,2,1,0,1,1,7,1,1,1,0,0,1,1,0,0,1,0,2,1,0,1,1,0,"97413,692","487439,951","N"
106,3,1,2,1,0,1,1,4,5,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"96943,805","487218,97","N"
233,8,6,2,1,0,1,1,11,12,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"99983,115","482835,692","N"
256,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"101241,483030167","483974,207575416","N"
293,6,0,6,1,4,1,5,8,4,6,1,4,1,5,3,0,2,1,2,9,1,6,2,7,0,"101402,975","488510,471","N"
343,1,0,1,1,0,0,1,2,0,2,1,1,0,2,1,0,1,0,1,3,1,2,0,3,0,"101650,049446104","483616,896814695","N"
393,5,3,2,1,1,0,2,9,3,3,1,1,1,2,2,0,1,1,1,5,1,2,2,3,0,"101190,181","477176,444","N"
412,4,1,3,1,0,2,1,4,5,3,1,0,2,1,0,0,0,0,0,3,1,0,2,1,0,"102341,737","472513,147","N"
432,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2,1,1,0,2,0,"101682,761","500806,263","N"
502,3,1,2,1,0,1,1,6,0,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"103425,867","478332,079","N"
504,1,0,1,1,0,0,1,2,0,2,1,1,0,2,2,0,2,0,2,4,1,3,0,4,0,"102693,756","478987,232","N"
532,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"102312,5","490023,5","N"
545,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"102840,89","489900,929","N"
601,3,2,1,1,0,0,1,5,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"102694,505","497003,983","N"
707,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"103347,513593075","487208,223549796","N"
727,3,1,2,1,0,1,1,6,1,4,1,0,3,1,1,0,0,1,0,5,1,0,4,1,0,"104087,070992338","471483,616007015","N"
896,4,0,4,1,2,1,3,6,2,4,1,2,1,3,0,0,0,0,0,4,1,2,1,3,0,"105040,805","519797,244","N"
938,4,1,3,1,1,1,2,6,1,3,1,1,1,2,2,0,2,0,2,5,1,3,1,4,0,"104842,133","476825,937","N"
996,7,5,2,1,0,1,1,16,0,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"104276,409","489206,59","N"
1046,4,1,3,1,2,0,3,4,3,3,1,2,0,3,0,0,0,0,0,3,1,2,0,3,0,"106134,424162134","475222,697512356","N"
1061,8,5,3,1,1,1,2,20,2,4,0,2,2,2,1,1,0,0,1,5,1,2,2,3,0,"105414,260910888","472979,706080682","N"
1174,1,0,1,1,0,0,1,1,4,1,1,0,0,1,2,0,0,2,0,3,1,0,2,1,0,"104817,969115393","493123,17902631","N"
1266,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"104616,120820177","501945,781502786","N"
1334,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"104834,469085853","472293,339924333","N"
1376,2,0,2,1,0,1,1,5,0,2,1,0,1,1,1,0,0,1,0,3,1,0,2,1,0,"105404,59248412","496817,832113305","N"
1416,10,8,2,1,1,0,2,20,5,2,1,1,0,2,0,0,0,0,0,2,1,1,0,2,0,"106010,303999132","479720,755556359","N"
1436,3,2,1,1,0,0,1,4,3,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"106895,156996915","499816,26216661","N"
1519,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"105969,5","501126,5","N"
1592,3,2,1,1,0,0,1,3,5,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"106527,557","487185,891","N"
1658,6,4,2,1,0,1,1,12,0,3,1,0,2,1,0,0,0,0,0,3,1,0,2,1,0,"104567,244","490771,21","N"
1852,19,15,4,1,1,2,2,23,8,4,1,1,2,2,1,0,1,0,1,5,1,2,2,3,0,"107266,049","487236,785","N"
1924,8,3,5,1,2,2,3,17,0,5,1,2,2,3,0,0,0,0,0,5,1,2,2,3,0,"107784,285","477062,297","N"
1966,4,2,2,1,1,0,2,9,3,1,1,0,0,1,1,0,1,0,1,2,1,1,0,2,0,"107807,907","516872,226","N"
2007,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"107895,759440806","500197,152770781","N"
2170,8,4,4,1,1,2,2,13,4,4,1,1,2,2,0,0,0,0,0,4,1,1,2,2,0,"108993,649181823","481506,424422753","N"
2172,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"108535,90067176","487341,77163604","N"
2286,4,2,2,1,1,0,2,6,1,2,1,1,0,2,1,0,1,0,1,3,1,2,0,3,0,"108126,933","505207,616","N"
2302,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"108457,398","538433,801","N"
2392,1,0,1,1,0,0,1,1,3,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"108804,712377908","503673,016567364","N"
2425,2,0,2,1,1,0,2,3,0,2,1,1,0,2,0,0,0,0,0,2,1,1,0,2,0,"108927,098","526171,362","N"
2515,3,1,2,1,0,1,1,8,4,3,1,0,2,1,0,0,0,0,0,3,1,0,2,1,0,"106103,528110959","473710,120900722","N"
2546,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"109312,960165771","515821,141794903","N"
2578,1,0,1,1,0,0,1,1,2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"105724,084","495592,938","N"
2623,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2,1,1,0,2,0,"110846,539191693","535863,420792332","N"
2690,1,0,1,1,0,0,1,4,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"109578,235854914","508424,065984142","N"
2740,2,1,1,1,0,0,1,3,3,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"109291,412971041","515965,864991855","N"
2758,2,1,1,1,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,"109801,938","524686,972","N"
2979,4,2,2,1,1,0,2,8,1,3,1,1,1,2,0,0,0,0,0,3,1,1,1,2,0,"110971,68242454","515685,292354507","N"
3007,2,0,2,1,0,1,1,3,1,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"110577,885","516226,07","N"
3018,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"111656,383655225","522960,206249442","N"
3095,3,2,1,1,0,0,1,6,0,2,1,1,0,2,0,0,0,0,0,2,1,1,0,2,0,"111505,593292958","517093,667804909","N"
3265,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"113490,624993431","482120,403028434","N"
3391,3,1,2,1,1,0,2,4,2,2,1,1,0,2,0,0,0,0,0,2,1,1,0,2,0,"112245,944","516048,761","N"
3395,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"112292,317919947","518821,442110426","N"
3474,26,13,13,1,8,4,9,49,6,15,0,10,5,10,2,1,1,0,2,17,1,11,5,12,0,"112469,228059603","548446,12548438","N"
3549,2,1,1,1,0,0,1,3,0,2,1,1,0,2,0,0,0,0,0,2,1,1,0,2,0,"106437,936","497109,736","N"
3661,1,0,1,1,0,0,1,3,0,3,1,0,2,1,0,0,0,0,0,3,1,0,2,1,0,"107016,567959112","496466,965954775","N"
3746,5,3,2,1,1,0,2,10,2,2,1,1,0,2,0,0,0,0,0,2,1,1,0,2,0,"107210,399","532942,468","N"
3867,1,0,1,1,0,0,1,2,0,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"107332,118","525402,599","N"
3877,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"113133,087636551","517813,734828428","N"
3908,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"114022,42630619","475111,867318593","N"
3920,5,4,1,1,0,0,1,12,3,2,0,2,0,2,2,1,1,0,2,4,1,3,0,4,0,"114146,49","534770,294","N"
3958,1,0,1,1,0,0,1,2,0,1,0,1,0,1,4,1,1,2,2,5,1,2,2,3,0,"113564,561","489816,371","N"
4004,3,2,1,1,0,0,1,4,2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"114954,531","504195,414","N"
4013,1,0,1,1,0,0,1,2,2,2,1,1,0,2,0,0,0,0,0,2,1,1,0,2,0,"114251,254376241","516359,788676818","N"
4062,20,13,7,1,0,6,1,43,1,7,1,0,6,1,1,0,0,1,0,8,1,0,7,1,0,"114775,57583593","475193,521137361","N"
4146,3,2,1,1,0,0,1,3,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"114788,708","545648,501","N"
4204,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"115510,29007313","484843,476621091","N"
4226,3,1,2,1,0,1,1,5,2,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"115079,774754812","485782,017243555","N"
4263,1,0,1,1,0,0,1,4,3,1,0,0,1,0,2,1,1,0,2,3,1,1,1,2,0,"115467,762889801","498155,726017408","N"
4283,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"115469,667431878","522550,472303056","N"
4306,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"115008,542","543409,564","N"
4517,2,0,2,1,0,1,1,3,1,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"115792,794","480985,309","N"
4715,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,116362,487794,"N"
4727,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"116912,117","491681,764","N"
4738,1,0,1,1,0,0,1,3,0,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"116518,024","495142,3155","N"
4762,2,0,2,1,0,1,1,3,0,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"116578,756","489433,986","N"
4779,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"116826,459000268","516426,243023789","N"
4830,2,1,1,1,0,0,1,4,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"116675,63","472058,599","N"
4890,2,1,1,1,0,0,1,2,1,1,0,0,1,0,1,1,0,0,1,2,1,0,1,1,0,"117126,545186098","522615,577968324","N"
4891,3,1,2,1,1,0,2,4,1,2,1,1,0,2,4,0,4,0,4,6,1,5,0,6,0,117142,"522747,981","N"
5019,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"117619,0545","486586,488","N"
5045,1,0,1,1,0,0,1,2,0,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"117046,5",541623,"N"
5239,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"118805,821","499893,747","N"
5347,6,3,3,1,0,2,1,13,1,3,1,0,2,1,0,0,0,0,0,3,1,0,2,1,0,"118900,4435","483750,4865","N"
5447,3,1,2,1,0,1,1,6,0,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"118930,411","479517,368","N"
5478,2,1,1,1,0,0,1,2,2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"119446,128","504997,283","N"
5486,4,1,3,1,1,1,2,6,4,3,1,1,1,2,0,0,0,0,0,3,1,1,1,2,0,"118715,623","522850,96","N"
5560,3,1,2,1,0,1,1,6,0,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"119119,710280888","484310,306803778","N"
5563,6,2,4,1,0,3,1,11,1,4,1,0,3,1,0,0,0,0,0,4,1,0,3,1,0,"119420,131570023","485213,710523341","N"
5564,2,0,2,1,0,1,1,5,0,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"119273,3385","485886,2495","N"
5652,3,2,1,1,0,0,1,7,3,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"119422,559772146","492006,782134231","N"
5716,3,2,1,1,0,0,1,5,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"119171,04","487576,835","N"
5879,2,1,1,1,0,0,1,2,2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"120505,054","483136,085","N"
5887,4,2,2,1,0,1,1,8,2,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"120369,768","484462,062","N"
6254,2,1,1,1,0,0,1,5,1,1,1,0,0,1,3,0,0,3,0,4,1,0,3,1,0,"121458,983095655","493123,675543564","N"
6313,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"122175,112","479124,972","N"
6354,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"122015,01972111","530167,824580473","N"
6468,3,2,1,1,0,0,1,7,2,1,1,0,0,1,2,0,0,2,0,3,1,0,2,1,0,"121828,894184095","500912,581701941","N"
6509,10,7,3,1,0,2,1,15,3,3,1,0,2,1,0,0,0,0,0,3,1,0,2,1,0,"108191,571899091","488331,679096471","N"
6581,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"122173,794829708","490886,119119457","N"
6616,3,2,1,1,0,0,1,6,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"108010,928812571","509786,327357387","N"
6672,4,3,1,1,0,0,1,10,1,0,0,0,0,0,2,1,1,0,2,2,1,1,0,2,0,"122969,785147059","481245,358088235","N"
6916,1,0,1,1,0,0,1,2,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"109244,796635399","510772,879873827","N"
6979,1,0,1,1,0,0,1,2,2,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,"123514,947324266","485747,949573634","N"
7035,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"124490,282477894","483351,495167845","N"
7405,9,5,4,1,2,1,3,11,7,4,1,2,1,3,1,0,0,1,0,5,1,2,2,3,0,"124918,856","541373,466","N"
7419,7,5,2,1,0,1,1,10,4,2,0,1,1,1,3,1,0,2,1,5,1,1,3,2,0,"124654,39","511702,963","N"
7479,6,4,2,1,0,1,1,8,1,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"110163,411","490383,99","N"
7590,3,0,3,1,1,1,2,5,4,4,1,2,1,3,1,0,1,0,1,5,1,3,1,4,0,"125411,556988621","517324,832983992","N"
7594,2,1,1,1,0,0,1,2,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"126194,64",544760,"N"
7613,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"124825,73155542","478924,955056998","N"
7655,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"125327,057","482343,626","N"
7662,4,1,3,1,0,2,1,9,0,2,1,0,1,1,1,0,0,1,0,3,1,0,2,1,0,"125479,634372497","488842,293511624","N"
7714,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"110509,403","543401,596","N"
7772,3,2,1,1,0,0,1,3,3,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"125805,149666384","506686,316126277","N"
7776,9,6,3,1,1,1,2,20,5,3,1,1,1,2,1,0,0,1,0,4,1,1,2,2,0,"125318,39","513365,413","N"
7845,1,0,1,1,0,0,1,6,0,5,1,3,1,4,1,0,0,1,0,6,1,3,2,4,0,"126423,243739445","508268,158096502","N"
7900,2,1,1,1,0,0,1,4,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"111317,699","528372,393","N"
7913,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"111874,035","479796,777","N"
7924,2,1,1,1,0,0,1,2,2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"126198,808609728",517966,"N"
7976,2,1,1,1,0,0,1,5,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"126319,47797784","524055,2399443","N"
8014,1,0,1,1,0,0,1,2,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"111816,94","510127,759","N"
8086,2,0,2,1,1,0,2,4,0,3,1,2,0,3,0,0,0,0,0,3,1,2,0,3,0,"126316,077","503121,048","N"
8162,2,0,2,1,1,0,2,4,0,2,1,1,0,2,0,0,0,0,0,2,1,1,0,2,0,"126760,873","508344,397","N"
8257,10,9,1,1,0,0,1,13,5,1,1,0,0,1,1,0,1,0,1,2,1,1,0,2,0,"127884,503","535780,584","N"
8302,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"112299,607329094","496435,196856916","N"
8330,2,1,1,1,0,0,1,3,0,2,0,2,0,2,1,1,0,0,1,3,1,2,0,3,0,"112638,4","526813,377","N"
8365,2,0,2,1,1,0,2,2,0,2,1,1,0,2,0,0,0,0,0,2,1,1,0,2,0,127435,"490002,647","N"
8490,3,2,1,1,0,0,1,4,3,1,1,0,0,1,1,0,1,0,1,2,1,1,0,2,0,"128778,312","499468,184","N"
8546,2,0,2,1,1,0,2,2,1,2,0,1,1,1,1,1,0,0,1,3,1,1,1,2,0,"129938,974","507135,831","N"
8666,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"130377,981139405","521774,311374918","N"
8715,1,0,1,1,0,0,1,3,0,1,0,1,0,1,1,1,0,0,1,2,1,1,0,2,0,"113303,123877191","514515,215240152","N"
8758,7,5,2,1,1,0,2,12,2,2,1,1,0,2,1,0,0,1,0,3,1,1,1,2,0,"130475,242","543194,207","N"
8779,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"130481,934","535641,483","N"
8845,5,3,2,1,0,1,1,10,4,4,1,0,3,1,0,0,0,0,0,4,1,0,3,1,0,"130771,327","496959,144","N"
8868,2,1,1,1,0,0,1,2,2,1,1,0,0,1,1,0,0,1,0,2,1,0,1,1,0,"130945,176926978","522724,168052738","N"
8871,1,0,1,1,0,0,1,1,2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"130846,232007303","523336,477000101","N"
8889,3,2,1,1,0,0,1,9,0,3,1,2,0,3,0,0,0,0,0,3,1,2,0,3,0,"113851,969","507511,786","N"
9023,2,1,1,1,0,0,1,3,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"130999,302","521627,423","N"
9056,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"131298,012908596","531612,74099571","N"
9268,6,4,2,1,0,1,1,15,2,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"133113,210958045","482075,150911846","N"
9293,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"114938,454981429","487677,27009189","N"
9321,1,0,1,1,0,0,1,3,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"131920,113","549865,113","N"
9405,2,1,1,1,0,0,1,7,2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,114529,"550264,941","N"
9456,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"135015,935199397","494755,252947699","N"
9463,4,2,2,1,1,0,2,7,1,1,1,0,0,1,1,0,1,0,1,2,1,1,0,2,0,"134073,198","517967,958","N"
9474,1,0,1,1,0,0,1,2,0,1,1,0,0,1,1,0,1,0,1,2,1,1,0,2,0,"134136,296987997","551736,168013873","N"
9557,6,4,2,1,0,1,1,8,3,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"134919,617","481584,845","N"
9606,2,1,1,1,0,0,1,3,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"115136,328","547745,84","N"
9708,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"116069,096587213","489476,170769831","N"
9747,9,5,4,1,3,0,4,9,9,4,1,3,0,4,0,0,0,0,0,4,1,3,0,4,0,"135844,567","532854,423","N"
9908,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"116626,7","483385,86","N"
10053,8,6,2,1,0,1,1,13,4,2,1,0,1,1,1,0,1,0,1,3,1,1,1,2,0,"138883,488279649","470471,040894707","N"
10125,1,0,1,1,0,0,1,1,1,0,0,0,0,0,3,1,1,1,2,3,1,1,1,2,0,116885,"485684,889","N"
10181,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"139648,791604885","475814,263328391","N"
10205,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"139895,006062787","469274,275166302","N"
10253,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"117006,553","495440,377","N"
10257,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"116621,248","496472,292","N"
10260,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,116766,498529,"N"
10300,4,3,1,1,0,0,1,6,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"140578,569168366","527585,290616003","N"
10366,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"117539,969","484996,039","N"
10414,4,2,2,1,0,1,1,8,2,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,0,"140634,658332012","470475,034976438","N"
10502,2,1,1,1,0,0,1,4,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,141238,"475632,5","N"
10561,8,2,6,1,3,2,4,13,3,6,1,3,2,4,0,0,0,0,0,6,1,3,2,4,0,"118632,755","574702,951","N"
10641,6,5,1,1,0,0,1,14,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"141725,678376421","471122,755849979","N"
10670,2,0,2,1,0,1,1,3,1,3,1,0,2,1,2,0,2,0,2,5,1,2,2,3,0,"142551,303","478072,912","N"
10892,2,0,2,1,1,0,2,2,2,2,1,1,0,2,0,0,0,0,0,2,1,1,0,2,0,"117680,038","524338,98","N"
10912,4,1,3,1,0,2,1,12,1,2,1,0,1,1,2,0,0,2,0,4,1,0,3,1,0,"118589,858988928","483530,273124011","N"
11097,2,1,1,1,0,0,1,3,0,2,1,1,0,2,0,0,0,0,0,2,1,1,0,2,0,"145832,633","477280,097","N"
